model_name,target_name,horizon,split_name,test_start,auc,precision,recall,f1,false_positive_months,brier_score,ece,event_hit_rate,median_timing_months,average_timing_months,flagged_3m_ahead_share,flagged_6m_ahead_share,episode_recall,max_false_alarm_streak,event_hits,n_events
multivariate_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.06,1.0,0.11320754716981131,47,0.33820213334496385,0.4542931928537035,1.0,3.0,3.0,1.0,0.0,1.0,24,1,1
multivariate_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6259259259259259,0.10714285714285714,1.0,0.19354838709677416,50,0.4312697386479975,0.5102149090613818,1.0,6.0,6.0,1.0,1.0,1.0,30,1,1
multivariate_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5813492063492064,0.15384615384615385,1.0,0.2666666666666667,66,0.6338005791508557,0.6810515912345161,1.0,12.0,12.0,1.0,1.0,1.0,42,1,1
multivariate_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.4458937198067633,0.056818181818181816,0.25,0.09259259259259259,83,0.4260853356772943,0.426250310117413,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.5,0.0,0.0,0.0,0,0.030275168235050155,0.0013155740382590209,0.0,,,0.0,0.0,0.0,0,0,1
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.5425925925925926,0.0,0.0,0.0,0,0.058826483114321405,0.008130709899527203,0.0,,,0.0,0.0,0.0,0,0,1
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5367063492063492,0.0,0.0,0.0,0,0.1301344409221936,0.19899193102503296,0.0,,,0.0,0.0,0.0,0,0,1
regularized_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.9468599033816425,0.6,0.3,0.4,4,0.06082275510054048,0.05332557305200787,0.5,11.0,11.0,0.0,0.0,0.5,4,1,2
ensemble_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.6538647342995169,0.060240963855421686,0.25,0.09708737864077671,78,0.15195869840078738,0.21780146121186958,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2
ensemble_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5892857142857143,0.16901408450704225,1.0,0.2891566265060241,59,0.26711530106317377,0.37288475571781404,1.0,12.0,12.0,1.0,1.0,1.0,41,1,1
ensemble_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.0,0.0,0.0,10,0.1025483500115892,0.22648880940772226,0.0,,,0.0,0.0,0.0,10,0,1
ensemble_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6129629629629629,0.058823529411764705,0.3333333333333333,0.1,32,0.14609328461912527,0.2591728094804545,1.0,6.0,6.0,1.0,1.0,1.0,11,1,1
