feature,coefficient,model_name,target_name,data_mode,selected,member_name,weight
intercept,10.937164978874108,multivariate_logit_within_3m,within_3m,latest_available,,,
term_spread,-1.9662623311285772,multivariate_logit_within_3m,within_3m,latest_available,,,
DTB3,-0.7268066406087788,multivariate_logit_within_3m,within_3m,latest_available,,,
BAMLH0A0HYM2,0.32891970643713425,multivariate_logit_within_3m,within_3m,latest_available,,,
sahm_gap,4.403558789803375,multivariate_logit_within_3m,within_3m,latest_available,,,
UNRATE,-2.681641001301081,multivariate_logit_within_3m,within_3m,latest_available,,,
intercept,9.978900973502217,multivariate_logit_within_6m,within_6m,latest_available,,,
term_spread,-2.8553809655816162,multivariate_logit_within_6m,within_6m,latest_available,,,
DTB3,-0.6885375826481253,multivariate_logit_within_6m,within_6m,latest_available,,,
BAMLH0A0HYM2,0.44584262192426344,multivariate_logit_within_6m,within_6m,latest_available,,,
sahm_gap,4.363415668655062,multivariate_logit_within_6m,within_6m,latest_available,,,
UNRATE,-2.321390407520087,multivariate_logit_within_6m,within_6m,latest_available,,,
intercept,33.9542833962024,multivariate_logit_within_12m,within_12m,latest_available,,,
term_spread,-3.974373580504296,multivariate_logit_within_12m,within_12m,latest_available,,,
DTB3,-0.4818443801324304,multivariate_logit_within_12m,within_12m,latest_available,,,
BAMLH0A0HYM2,-0.17615244783400194,multivariate_logit_within_12m,within_12m,latest_available,,,
sahm_gap,12.719845144769357,multivariate_logit_within_12m,within_12m,latest_available,,,
UNRATE,-7.004653001110871,multivariate_logit_within_12m,within_12m,latest_available,,,
intercept,132.67113431589715,multivariate_logit_current_recession,current_recession,latest_available,,,
term_spread,0.40225960457664856,multivariate_logit_current_recession,current_recession,latest_available,,,
DTB3,-8.851415311140215,multivariate_logit_current_recession,current_recession,latest_available,,,
BAMLH0A0HYM2,1.8938920704536037,multivariate_logit_current_recession,current_recession,latest_available,,,
sahm_gap,7.586367663744094,multivariate_logit_current_recession,current_recession,latest_available,,,
UNRATE,-25.91476258190864,multivariate_logit_current_recession,current_recession,latest_available,,,
intercept,-3.478354483277331,regularized_logit_within_3m,within_3m,latest_available,True,,
term_spread,-0.0,regularized_logit_within_3m,within_3m,latest_available,False,,
DTB3,0.0,regularized_logit_within_3m,within_3m,latest_available,False,,
BAMLH0A0HYM2,0.0,regularized_logit_within_3m,within_3m,latest_available,False,,
sahm_gap,0.0,regularized_logit_within_3m,within_3m,latest_available,False,,
UNRATE,-0.0,regularized_logit_within_3m,within_3m,latest_available,False,,
intercept,-2.833079371015565,regularized_logit_within_6m,within_6m,latest_available,True,,
term_spread,-0.1801612655881759,regularized_logit_within_6m,within_6m,latest_available,True,,
DTB3,0.044667455135067494,regularized_logit_within_6m,within_6m,latest_available,True,,
BAMLH0A0HYM2,0.0,regularized_logit_within_6m,within_6m,latest_available,False,,
sahm_gap,0.0,regularized_logit_within_6m,within_6m,latest_available,False,,
UNRATE,-0.0,regularized_logit_within_6m,within_6m,latest_available,False,,
intercept,-2.358616884095347,regularized_logit_within_12m,within_12m,latest_available,True,,
term_spread,-0.5281213293522163,regularized_logit_within_12m,within_12m,latest_available,True,,
DTB3,0.35035712356923954,regularized_logit_within_12m,within_12m,latest_available,True,,
BAMLH0A0HYM2,0.0,regularized_logit_within_12m,within_12m,latest_available,False,,
sahm_gap,0.0,regularized_logit_within_12m,within_12m,latest_available,False,,
UNRATE,-0.0,regularized_logit_within_12m,within_12m,latest_available,False,,
intercept,-2.7103774458041436,regularized_logit_current_recession,current_recession,latest_available,True,,
term_spread,0.0,regularized_logit_current_recession,current_recession,latest_available,False,,
DTB3,-0.0,regularized_logit_current_recession,current_recession,latest_available,False,,
BAMLH0A0HYM2,0.3472703782337073,regularized_logit_current_recession,current_recession,latest_available,True,,
sahm_gap,0.18162813204422457,regularized_logit_current_recession,current_recession,latest_available,True,,
UNRATE,-0.0,regularized_logit_current_recession,current_recession,latest_available,False,,
,,ensemble_current_recession,current_recession,latest_available,,multivariate_logit_current_recession,0.5
,,ensemble_current_recession,current_recession,latest_available,,regularized_logit_current_recession,0.5
,,ensemble_within_12m,within_12m,latest_available,,multivariate_logit_within_12m,0.5
,,ensemble_within_12m,within_12m,latest_available,,regularized_logit_within_12m,0.5
,,ensemble_within_3m,within_3m,latest_available,,multivariate_logit_within_3m,0.5
,,ensemble_within_3m,within_3m,latest_available,,regularized_logit_within_3m,0.5
,,ensemble_within_6m,within_6m,latest_available,,multivariate_logit_within_6m,0.5
,,ensemble_within_6m,within_6m,latest_available,,regularized_logit_within_6m,0.5
