model_name,target_name,horizon,split_name,test_start,auc,precision,recall,f1,false_positive_months,brier_score,ece,event_hit_rate,median_timing_months,event_hits,n_events,experiment
hy_credit_logit,current_recession,0,fixed_2007_holdout,2007-01-01,0.9778436018957346,1.0,0.5,0.6666666666666666,0,0.03658645869960687,0.02786858518551734,0.5,8.0,1,2,aggregation_eom
sahm_rule,current_recession,0,post_1990_monitoring,1990-01-01,0.9102320675105485,0.3614457831325301,0.8333333333333334,0.504201680672269,53,,,1.0,1.5,4,4,aggregation_eom
yield_curve_inversion,within_12m,12,fixed_1990_holdout,1990-01-01,0.8460608831983276,0.3541666666666667,0.3953488372093023,0.37362637362637363,31,,,0.75,10.0,3,4,aggregation_eom
yield_curve_logit,within_12m,12,fixed_1990_holdout,1990-01-01,0.8460608831983276,0.3404255319148936,0.37209302325581395,0.3555555555555555,31,0.11644547901399838,0.08250238002074378,0.75,10.0,3,4,aggregation_eom
hy_credit_logit,current_recession,0,fixed_2007_holdout,2007-01-01,0.9742890995260663,0.9,0.45,0.6,1,0.03958276227925906,0.032364173384381995,0.5,9.0,1,2,aggregation_mean
sahm_rule,current_recession,0,post_1990_monitoring,1990-01-01,0.9102320675105485,0.3614457831325301,0.8333333333333334,0.504201680672269,53,,,1.0,1.5,4,4,aggregation_mean
yield_curve_inversion,within_12m,12,fixed_1990_holdout,1990-01-01,0.8560883198327672,0.3181818181818182,0.32558139534883723,0.3218390804597701,30,,,0.75,9.0,3,4,aggregation_mean
yield_curve_logit,within_12m,12,fixed_1990_holdout,1990-01-01,0.8560883198327672,0.3023255813953488,0.3023255813953488,0.3023255813953488,30,0.11282537776119625,0.06960329714050806,0.75,9.0,3,4,aggregation_mean
hy_credit_logit_expanding,current_recession,0,expanding_2007_holdout,2007-01-01,0.9672985781990522,0.9,0.45,0.6,1,0.03828925890532312,0.02354781976265204,0.5,9.0,1,2,expanding_window
yield_curve_logit_expanding,within_12m,12,expanding_1990_holdout,1990-01-01,0.8620329239613274,0.35555555555555557,0.37209302325581395,0.36363636363636365,29,0.10064892521335696,0.07193211569324139,0.75,9.0,3,4,expanding_window
yield_curve_inversion,within_3m,3,fixed_1990_holdout,1990-01-01,0.7551679586563308,0.022727272727272728,0.08333333333333333,0.03571428571428572,43,,,0.25,1.0,1,4,horizon_sweep
yield_curve_inversion,within_6m,6,fixed_1990_holdout,1990-01-01,0.7987777777777778,0.11363636363636363,0.20833333333333334,0.14705882352941177,39,,,0.5,6.0,2,4,horizon_sweep
yield_curve_inversion,within_12m,12,fixed_1990_holdout,1990-01-01,0.8560883198327672,0.3181818181818182,0.32558139534883723,0.3218390804597701,30,,,0.75,9.0,3,4,horizon_sweep
yield_curve_logit,within_3m,3,fixed_1990_holdout,1990-01-01,0.7551679586563308,0.0,0.0,0.0,1,0.034504455536190456,0.036656364427876,0.0,,0,4,horizon_sweep
yield_curve_logit,within_6m,6,fixed_1990_holdout,1990-01-01,0.7987777777777778,0.0,0.0,0.0,20,0.0800225952056671,0.07784247775705538,0.0,,0,4,horizon_sweep
yield_curve_logit,within_12m,12,fixed_1990_holdout,1990-01-01,0.8560883198327672,0.3023255813953488,0.3023255813953488,0.3023255813953488,30,0.11282537776119625,0.06960329714050806,0.75,9.0,3,4,horizon_sweep
hy_credit_logit,current_recession,0,fixed_2007_holdout,2007-01-01,0.9727386934673367,0.9,0.45,0.6,1,0.04174716504807086,0.03447600214002787,0.5,9.0,1,2,subperiod_post_2008
sahm_rule,current_recession,0,post_1990_monitoring,1990-01-01,0.9143589743589744,0.45,0.9,0.6,22,,,1.0,1.0,2,2,subperiod_post_2008
yield_curve_inversion,within_12m,12,fixed_1990_holdout,1990-01-01,0.8480392156862745,0.16666666666666666,0.4166666666666667,0.23809523809523808,25,,,1.0,9.0,1,1,subperiod_post_2008
yield_curve_logit,within_12m,12,fixed_1990_holdout,1990-01-01,0.8480392156862745,0.13793103448275862,0.3333333333333333,0.1951219512195122,25,0.13163137634960026,0.13687539083318093,1.0,9.0,1,1,subperiod_post_2008
hy_credit_logit,current_recession,0,fixed_2007_holdout,2007-01-01,,0.0,0.0,0.0,0,8.241174844387839e-05,0.006176701406155332,,,0,0,subperiod_pre_2008
sahm_rule,current_recession,0,post_1990_monitoring,1990-01-01,0.88796875,0.27906976744186046,0.75,0.4067796610169491,31,,,1.0,2.0,2,2,subperiod_pre_2008
yield_curve_inversion,within_12m,12,fixed_1990_holdout,1990-01-01,0.892536743653369,0.6428571428571429,0.2903225806451613,0.4,5,,,0.5,8.0,1,2,subperiod_pre_2008
yield_curve_logit,within_12m,12,fixed_1990_holdout,1990-01-01,0.892536743653369,0.6428571428571429,0.2903225806451613,0.4,5,0.09411340916573425,0.06326133923303134,0.5,8.0,1,2,subperiod_pre_2008
